grade,lat,long
C,40.60079862,-74.00060138
B,40.7575934,-73.9895358
C,40.84820386,-73.85603701
B,40.83331967,-73.91421404
B,40.72788944,-73.9881911
C,40.75393699,-73.98594864
C,40.6133562,-74.15843791
B,40.75304833,-73.97392611
C,40.75180197,-73.9728763
B,40.68710288,-73.97544478
B,40.61837902,-73.95667836
C,40.76681223,-73.98280875
C,40.64218645,-74.0133359
B,40.84269748,-73.851383
B,40.70551336,-73.92271437
B,40.60156153,-73.99419139
B,40.88065824,-73.88325868
C,40.74490439,-73.9897399
C,40.75186772,-73.7028151
B,40.79828609,-73.94086392
B,40.72462762,-73.89776223
C,40.74459866,-73.98133486
B,40.75434407,-73.99858511
C,40.65400344,-74.00394274
B,40.76321728,-73.81517683
B,40.86780409,-73.92129934
B,40.74896494,-73.86303384
C,40.72110387,-73.98400388
B,40.84750052,-73.8668531
B,40.8024133,-73.95060189
C,40.69002303,-73.99356704
B,40.73653164,-73.86576583
C,40.71568109,-74.00732645
B,40.68478782,-73.83097503
B,40.75844175,-73.82959983
C,40.81398591,-73.95954182
B,40.83824939,-73.92632896
B,40.74891735,-73.86929937
C,40.62197607,-73.93617934
C,40.71486063,-73.99819997
C,40.73690034,-73.98664868
C,40.62027878,-73.9343763
B,40.86546621,-73.86569981
B,40.6007849,-74.00061578
C,40.68000972,-73.94278993
C,40.64479953,-73.92367142
C,40.84414771,-73.84590046
B,40.71204071,-73.96125961
B,40.76255072,-73.94938616
B,40.74950656,-73.98309835
C,40.7751312,-73.98044169
B,40.71446219,-74.0103095
B,40.87007115,-73.84546411
B,40.69609093,-73.81335135
B,40.64099044,-74.00384828
C,40.76968941,-73.98814756
B,40.67027024,-73.93099244
B,40.73792485,-74.00386112
C,40.76739096,-73.9593789
B,40.70863166,-73.94169762
C,40.75098841,-73.94633075
B,40.63037414,-73.97710856
C,40.69143568,-73.86632215
C,40.53909243,-74.14869116
B,40.7621501,-73.81551191
C,40.68148819,-73.76528827
B,40.85081316,-73.93262259
C,40.74746082,-73.88559707
C,40.64479953,-73.92367142
B,40.63981288,-74.00506969
C,40.68577332,-73.92327459
B,40.74694394,-73.89033298
C,40.71457379,-73.98208279
C,40.78434126,-73.9737477
B,40.86729352,-73.89694186
C,40.85323442,-73.90585614
C,40.64612287,-74.00923947
B,40.67157141,-73.89806017
B,40.74009319,-73.99556138
C,40.67496105,-73.91104775
C,40.6654633,-73.75441213
B,40.74652776,-73.91782334
C,40.68974351,-73.96539776
B,40.66014147,-73.92162097
B,40.70053865,-73.90981975
C,40.61438237,-73.97405252
C,40.61645488,-73.99976227
C,40.74436953,-73.99544921
C,40.72710219,-73.89341447
B,40.59646793,-73.97772157
B,40.68684539,-73.97799053
B,40.72979436,-73.98869589
C,40.5147897,-74.24843447
